half_hour,freq,freq_wt,uid,cluster
0,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
1,0.4,0.13922036595067622,006f2528-1e1a-4695-a21c-50a66585f653,2
2,0.4,0.13922036595067622,006f2528-1e1a-4695-a21c-50a66585f653,2
3,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
4,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
5,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
6,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
7,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,2
8,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
9,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
10,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
11,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
12,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
13,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
14,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
15,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
16,0.2,0.863961813842482,006f2528-1e1a-4695-a21c-50a66585f653,2
17,0.4,0.9761336515513127,006f2528-1e1a-4695-a21c-50a66585f653,2
18,0.4,0.9761336515513127,006f2528-1e1a-4695-a21c-50a66585f653,2
19,0.4,0.9761336515513127,006f2528-1e1a-4695-a21c-50a66585f653,2
20,0.6,1.0,006f2528-1e1a-4695-a21c-50a66585f653,2
21,0.4,0.08021744895253248,006f2528-1e1a-4695-a21c-50a66585f653,2
22,0.4,0.0888358525590029,006f2528-1e1a-4695-a21c-50a66585f653,2
23,0.6,0.13325377883850437,006f2528-1e1a-4695-a21c-50a66585f653,2
24,0.6,0.13325377883850437,006f2528-1e1a-4695-a21c-50a66585f653,2
25,0.4,0.1007690267833466,006f2528-1e1a-4695-a21c-50a66585f653,2
26,0.4,0.13073455316892071,006f2528-1e1a-4695-a21c-50a66585f653,2
27,0.2,0.08631662688941925,006f2528-1e1a-4695-a21c-50a66585f653,2
28,0.2,0.08631662688941925,006f2528-1e1a-4695-a21c-50a66585f653,2
29,0.4,0.10302307080350041,006f2528-1e1a-4695-a21c-50a66585f653,2
30,0.2,0.13086714399363564,006f2528-1e1a-4695-a21c-50a66585f653,2
31,0.4,0.28540175019888625,006f2528-1e1a-4695-a21c-50a66585f653,2
32,0.8,0.4441129673826571,006f2528-1e1a-4695-a21c-50a66585f653,2
33,0.8,0.4441129673826571,006f2528-1e1a-4695-a21c-50a66585f653,2
34,0.6,0.4065234685759745,006f2528-1e1a-4695-a21c-50a66585f653,2
35,0.6,0.4065234685759745,006f2528-1e1a-4695-a21c-50a66585f653,2
36,0.6,0.3202068416865553,006f2528-1e1a-4695-a21c-50a66585f653,2
37,0.8,0.38723150357995223,006f2528-1e1a-4695-a21c-50a66585f653,2
38,0.6,0.2048528241845664,006f2528-1e1a-4695-a21c-50a66585f653,2
39,0.6,0.22155926809864757,006f2528-1e1a-4695-a21c-50a66585f653,2
40,0.4,0.1714399363564041,006f2528-1e1a-4695-a21c-50a66585f653,2
41,0.8,0.2609387430389817,006f2528-1e1a-4695-a21c-50a66585f653,2
42,1.0,0.30628480509148764,006f2528-1e1a-4695-a21c-50a66585f653,2
43,0.8,0.2879872712808273,006f2528-1e1a-4695-a21c-50a66585f653,2
44,0.8,0.2879872712808273,006f2528-1e1a-4695-a21c-50a66585f653,2
45,0.8,0.31662688941925216,006f2528-1e1a-4695-a21c-50a66585f653,2
46,0.6,0.14916467780429593,006f2528-1e1a-4695-a21c-50a66585f653,2
47,0.8,0.17004773269689735,006f2528-1e1a-4695-a21c-50a66585f653,2
0,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
1,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
2,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
3,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
4,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
5,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
6,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
7,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
8,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
9,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
10,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
11,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
12,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
13,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
14,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
15,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
16,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
17,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
18,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
19,1.0,0.7863372093023254,006f2528-1e1a-4695-a21c-50a66585f653,3
20,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
21,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
22,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
23,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
24,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
25,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
26,0.5,0.694767441860465,006f2528-1e1a-4695-a21c-50a66585f653,3
27,1.0,1.0,006f2528-1e1a-4695-a21c-50a66585f653,3
28,1.0,0.5494186046511628,006f2528-1e1a-4695-a21c-50a66585f653,3
29,1.0,0.4502180232558139,006f2528-1e1a-4695-a21c-50a66585f653,3
30,0.5,0.20603197674418602,006f2528-1e1a-4695-a21c-50a66585f653,3
31,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
32,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
33,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
34,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
35,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
36,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
37,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
38,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
39,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
40,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
41,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
42,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
43,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
44,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
45,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
46,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
47,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,3
0,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
1,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
2,0.5,1.0,006f2528-1e1a-4695-a21c-50a66585f653,7
3,0.5,1.0,006f2528-1e1a-4695-a21c-50a66585f653,7
4,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
5,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
6,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
7,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
8,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
9,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
10,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
11,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
12,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
13,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
14,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
15,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
16,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
17,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
18,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
19,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
20,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
21,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
22,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
23,1.0,0.16666666666666666,006f2528-1e1a-4695-a21c-50a66585f653,7
24,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
25,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
26,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
27,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
28,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
29,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
30,0.5,0.33749999999999997,006f2528-1e1a-4695-a21c-50a66585f653,7
31,0.5,0.33749999999999997,006f2528-1e1a-4695-a21c-50a66585f653,7
32,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
33,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
34,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
35,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
36,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
37,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
38,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
39,0.5,0.3,006f2528-1e1a-4695-a21c-50a66585f653,7
40,0.5,0.3,006f2528-1e1a-4695-a21c-50a66585f653,7
41,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
42,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
43,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
44,0.5,0.2571428571428571,006f2528-1e1a-4695-a21c-50a66585f653,7
45,1.0,0.36428571428571427,006f2528-1e1a-4695-a21c-50a66585f653,7
46,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
47,0.0,0.0,006f2528-1e1a-4695-a21c-50a66585f653,7
0,0.10526315789473684,0.10542724475443567,007a6124-81e8-42e6-b8cc-661f6a442d59,1
1,0.3157894736842105,0.30006215814723997,007a6124-81e8-42e6-b8cc-661f6a442d59,1
2,0.2631578947368421,0.260864849200078,007a6124-81e8-42e6-b8cc-661f6a442d59,1
3,0.15789473684210525,0.17165718056170934,007a6124-81e8-42e6-b8cc-661f6a442d59,1
4,0.15789473684210525,0.5406525372022342,007a6124-81e8-42e6-b8cc-661f6a442d59,1
5,0.15789473684210525,0.5406525372022342,007a6124-81e8-42e6-b8cc-661f6a442d59,1
6,0.15789473684210525,0.5406525372022342,007a6124-81e8-42e6-b8cc-661f6a442d59,1
7,0.05263157894736842,0.3243915223213405,007a6124-81e8-42e6-b8cc-661f6a442d59,1
8,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
9,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
10,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
11,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
12,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
13,0.0,0.0,007a6124-81e8-42e6-b8cc-661f6a442d59,1
14,0.05263157894736842,0.16219576116067025,007a6124-81e8-42e6-b8cc-661f6a442d59,1
15,0.05263157894736842,0.16219576116067025,007a6124-81e8-42e6-b8cc-661f6a442d59,1
16,0.10526315789473684,0.4251846024711855,007a6124-81e8-42e6-b8cc-661f6a442d59,1
17,0.10526315789473684,0.4251846024711855,007a6124-81e8-42e6-b8cc-661f6a442d59,1
18,0.10526315789473684,0.4035585009830962,007a6124-81e8-42e6-b8cc-661f6a442d59,1
19,0.2631578947368421,0.5630509994577553,007a6124-81e8-42e6-b8cc-661f6a442d59,1
20,0.42105263157894735,0.5549412113997217,007a6124-81e8-42e6-b8cc-661f6a442d59,1
21,0.3684210526315789,0.5130951011027136,007a6124-81e8-42e6-b8cc-661f6a442d59,1
22,0.3157894736842105,0.43944357048531046,007a6124-81e8-42e6-b8cc-661f6a442d59,1
